id_club;id_commune;id_championnat
0;11430;3
1;18752;3
2;36550;3
3;11157;3
4;26616;3
5;26096;3
6;24064;3
7;22519;3
8;29313;3
9;4545;3
10;65047;3
11;13913;3
12;17408;3
13;2062;3
14;31674;3
15;20224;3
16;14322;3
17;28722;3
18;12694;3
19;3687;3
20;81755;0
21;67370;0
22;68023;0
23;68461;0
24;68581;0
25;81755;0
26;81755;0
27;81673;0
28;81755;0
29;80895;0
30;80921;0
31;81673;0
32;82692;0
33;82692;0
34;84651;0
35;85357;0
36;90180;0
37;81755;0
38;81755;0
39;96257;0
40;49303;1
41;56515;1
42;53380;1
43;49894;1
44;50791;1
45;54352;1
46;49214;1
47;49894;1
48;53366;1
49;51543;1
50;49849;1
51;53839;1
52;53380;1
53;55178;1
54;53380;1
55;52182;1
56;56441;1
57;55178;1
58;56245;1
59;50947;1
60;45794;4
61;46186;4
62;46186;4
63;40181;4
64;39867;4
65;40182;4
66;40265;4
67;43537;4
68;43454;4
69;39936;4
70;47807;4
71;39937;4
72;42356;4
73;39873;4
74;44081;4
75;40034;4
76;42989;4
77;38859;4
78;58917;2
79;61381;2
80;59562;2
81;61608;2
82;61610;2
83;60276;2
84;58832;2
85;57410;2
86;62341;2
87;63671;2
88;58832;2
89;59881;2
90;63167;2
91;57410;2
92;63444;2
93;61123;2
94;61369;2
95;61180;2
96;57410;2
97;60870;2
196;42353;4
197;38856;4
